Filename                                                         Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
MongoClient/Authenticate+ChallengeResponse.swift                       7                 7     0.00%           4                 4     0.00%          64                64     0.00%
MongoClient/Authenticate+SASL.swift                                   61                31    49.18%          14                 4    71.43%         250                47    81.20%
MongoClient/Authenticate.swift                                        40                23    42.50%           3                 1    66.67%          71                30    57.75%
MongoClient/Channel+Connection.swift                                   9                 5    44.44%           4                 2    50.00%          26                13    50.00%
MongoClient/Cluster.swift                                            134                75    44.03%          61                29    52.46%         471               219    53.50%
MongoClient/Connection+Execute.swift                                  33                19    42.42%          12                 8    33.33%         116                60    48.28%
MongoClient/Connection.swift                                          53                24    54.72%          34                11    67.65%         240                50    79.17%
MongoClient/ConnectionContext.swift                                   20                12    40.00%          12                 6    50.00%          48                27    43.75%
MongoClient/ConnectionPool.swift                                       3                 2    33.33%           3                 2    33.33%           9                 6    33.33%
MongoClient/Cursor.swift                                              10                 7    30.00%           6                 4    33.33%          60                46    23.33%
MongoClient/Error.swift                                               10                10     0.00%           2                 2     0.00%          21                21     0.00%
MongoClient/Helpers.swift                                             24                10    58.33%           8                 1    87.50%          56                12    78.57%
MongoClient/InternalCommands/GetMore.swift                             1                 1     0.00%           1                 1     0.00%           5                 5     0.00%
MongoClient/InternalCommands/IsMaster.swift                            6                 5    16.67%           6                 5    16.67%          11                 7    36.36%
MongoClient/InternalCommands/KillCursors.swift                         1                 1     0.00%           1                 1     0.00%           4                 4     0.00%
MongoClient/Responses/MongoCursorResponse.swift                        1                 1     0.00%           1                 1     0.00%           5                 5     0.00%
MongoClient/Responses/OK.swift                                         1                 1     0.00%           1                 1     0.00%           4                 4     0.00%
MongoClient/SASL.swift                                                48                13    72.92%          17                 3    82.35%         200                20    90.00%
MongoCore/CommandPrimitives.swift                                      2                 2     0.00%           2                 2     0.00%           9                 9     0.00%
MongoCore/Error.swift                                                 59                59     0.00%          12                12     0.00%         134               134     0.00%
MongoCore/MongoReplyDeserializer.swift                                21                 9    57.14%           5                 2    60.00%          54                16    70.37%
MongoCore/Primitives/Collation.swift                                   1                 1     0.00%           1                 1     0.00%           3                 3     0.00%
MongoCore/Primitives/ConnectionSettings.swift                         70                35    50.00%           8                 1    87.50%         209                90    56.94%
MongoCore/Primitives/Namespace.swift                                   6                 4    33.33%           4                 2    50.00%          22                15    31.82%
MongoCore/Primitives/ReadConcern.swift                                 2                 2     0.00%           2                 2     0.00%           6                 6     0.00%
MongoCore/Primitives/WireVersion.swift                                23                18    21.74%          23                18    21.74%          36                20    44.44%
MongoCore/Primitives/WriteConcern.swift                                9                 9     0.00%           6                 6     0.00%          23                23     0.00%
MongoCore/Protocol/MessageHeader.swift                                 3                 0   100.00%           3                 0   100.00%          15                 0   100.00%
MongoCore/Protocol/MongoReply.swift                                   13                 1    92.31%           2                 0   100.00%          27                 1    96.30%
MongoCore/Protocol/OpMessage.swift                                    56                29    48.21%          27                17    37.04%         193                81    58.03%
MongoCore/Protocol/OpQuery.swift                                      13                 9    30.77%           5                 2    60.00%          72                41    43.06%
MongoCore/Protocol/OpReply.swift                                       9                 5    44.44%           5                 2    60.00%          57                27    52.63%
MongoCore/Protocol/ProtocolHelpers.swift                              23                12    47.83%          10                 3    70.00%          82                36    56.10%
MongoCore/Sessions.swift                                              20                 8    60.00%          16                 4    75.00%          86                30    65.12%
MongoCore/Tansaction.swift                                             3                 3     0.00%           3                 3     0.00%          10                10     0.00%
MongoKitten/Aggregate.swift                                           23                23     0.00%          21                21     0.00%         137               137     0.00%
MongoKitten/AggregateBuilder.swift                                    27                27     0.00%          23                23     0.00%         112               112     0.00%
